"Timestamp","Day_Of_Year","thEquiv_Value"
"2023-03-18 09:00:00","77.3750","0.2903633370055156"
"2023-03-18 10:00:00","77.4167","0.2891060436493831"
"2023-03-18 11:00:00","77.4583","0.28789127628196126"
"2023-03-18 12:00:00","77.5000","0.2866081827948642"
"2023-03-18 13:00:00","77.5417","0.2853653715958523"
"2023-03-18 14:00:00","77.5833","0.28410355054404557"
"2023-03-18 15:00:00","77.6250","0.282878252671065"
"2023-03-18 16:00:00","77.6667","0.28176462537609487"
"2023-03-18 17:00:00","77.7083","0.2806792756246234"
"2023-03-18 18:00:00","77.7500","0.2802097538777972"
"2023-03-18 19:00:00","77.7917","0.2797484723023891"
"2023-03-18 20:00:00","77.8333","0.2794656786803532"
"2023-03-18 21:00:00","77.8750","0.2791876090045878"
"2023-03-18 22:00:00","77.9167","0.2789203054389841"
"2023-03-18 23:00:00","77.9583","0.27865735871521957"
"2023-03-19 00:00:00","78.0000","0.27839949488409665"
"2023-03-19 01:00:00","78.0417","0.27814573801302805"
"2023-03-19 02:00:00","78.0833","0.27789101854471276"
"2023-03-19 03:00:00","78.1250","0.27764025822455835"
"2023-03-19 04:00:00","78.1667","0.27738090636379115"
"2023-03-19 05:00:00","78.2083","0.27712547433654905"
"2023-03-19 06:00:00","78.2500","0.27686275558805384"
"2023-03-19 07:00:00","78.2917","0.2882366620645824"
"2023-03-19 08:00:00","78.3333","0.29910282506817076"
"2023-03-19 09:00:00","78.3750","0.29841486069514667"
"2023-03-19 10:00:00","78.4167","0.2975487466827832"
"2023-03-19 11:00:00","78.4583","0.29670804671568024"
"2023-03-19 12:00:00","78.5000","0.295507275722474"
"2023-03-19 13:00:00","78.5417","0.29434310351658766"
"2023-03-19 14:00:00","78.5833","0.2931637798527833"
"2023-03-19 15:00:00","78.6250","0.2920175439719625"
"2023-03-19 16:00:00","78.6667","0.29092961848631843"
"2023-03-19 17:00:00","78.7083","0.28986917413453706"
"2023-03-19 18:00:00","78.7500","0.28941723484111703"
"2023-03-19 19:00:00","78.7917","0.2889734091208981"
"2023-03-19 20:00:00","78.8333","0.2886683488294465"
"2023-03-19 21:00:00","78.8750","0.2883685509628942"
"2023-03-19 22:00:00","78.9167","0.28807260735403634"
"2023-03-19 23:00:00","78.9583","0.28778162297274346"
"2023-03-20 00:00:00","79.0000","0.2874964020218151"
"2023-03-20 01:00:00","79.0417","0.2872158470226144"
"2023-03-20 02:00:00","79.0833","0.2869395136254811"
"2023-03-20 03:00:00","79.1250","0.28666760523684076"
"2023-03-20 04:00:00","79.1667","0.2863986540005844"
"2023-03-20 05:00:00","79.2083","0.28613392693009004"
"2023-03-20 06:00:00","79.2500","0.28586775208565096"
"2023-03-20 07:00:00","79.2917","0.2856056738575043"
"2023-03-20 08:00:00","79.3333","0.28512202421003224"
"2023-03-20 09:00:00","79.3750","0.2846456792855439"
"2023-03-20 10:00:00","79.4167","0.2838072283284721"
"2023-03-20 11:00:00","79.4583","0.282983738985443"
"2023-03-20 12:00:00","79.5000","0.2821374396497206"
"2023-03-20 13:00:00","79.5417","0.28130582075704974"
"2023-03-20 14:00:00","79.5833","0.280501613799339"
"2023-03-20 15:00:00","79.6250","0.27971058667635607"
"2023-03-20 16:00:00","79.6667","0.27888201294546755"
"2023-03-20 17:00:00","79.7083","0.2885643258121152"
"2023-03-20 18:00:00","79.7500","0.2995990885675461"
"2023-03-20 19:00:00","79.7917","0.2990402248637362"
"2023-03-20 20:00:00","79.8333","0.29866292547718154"
"2023-03-20 21:00:00","79.8750","0.29829492843400024"
"2023-03-20 22:00:00","79.9167","0.2979371968795313"
"2023-03-20 23:00:00","79.9583","0.29758751947584394"
"2023-03-21 00:00:00","80.0000","0.2972461525521466"
"2023-03-21 01:00:00","80.0417","0.29691192654048987"
"2023-03-21 02:00:00","80.0833","0.2965849955581206"
"2023-03-21 03:00:00","80.1250","0.2962645066344164"
"2023-03-21 04:00:00","80.1667","0.29595271399376916"
"2023-03-21 05:00:00","80.2083","0.2956467759442418"
"2023-03-21 06:00:00","80.2500","0.29534615711060763"
"2023-03-21 07:00:00","80.2917","0.29505095853058777"
"2023-03-21 08:00:00","80.3333","0.29420421607874797"
"2023-03-21 09:00:00","80.3750","0.2933747755981239"
"2023-03-21 10:00:00","80.4167","0.2924384339396808"
"2023-03-21 11:00:00","80.4583","0.29152124430222326"
"2023-03-21 12:00:00","80.5000","0.29052302086953213"
"2023-03-21 13:00:00","80.5417","0.28954506363350707"
"2023-03-21 14:00:00","80.5833","0.28852955495707305"
"2023-03-21 15:00:00","80.6250","0.28753408597243973"
"2023-03-21 16:00:00","80.6667","0.28661016145115237"
"2023-03-21 17:00:00","80.7083","0.28570291861782443"
"2023-03-21 18:00:00","80.7500","0.28526817649738273"
"2023-03-21 19:00:00","80.7917","0.2848391420262833"
"2023-03-21 20:00:00","80.8333","0.28463416735824254"
"2023-03-21 21:00:00","80.8750","0.28443197460520403"
"2023-03-21 22:00:00","80.9167","0.2842468551574994"
"2023-03-21 23:00:00","80.9583","0.2840643038303495"
"2023-03-22 00:00:00","81.0000","0.2838881306223887"
"2023-03-22 01:00:00","81.0417","0.28371441729147584"
"2023-03-22 02:00:00","81.0833","0.2835437218248794"
"2023-03-22 03:00:00","81.1250","0.28337541049210896"
"2023-03-22 04:00:00","81.1667","0.2832106424290675"
"2023-03-22 05:00:00","81.2083","0.28304817981589053"
"2023-03-22 06:00:00","81.2500","0.2828885026420502"
"2023-03-22 07:00:00","81.2917","0.29442014510620107"
"2023-03-22 08:00:00","81.3333","0.30470504970783263"
"2023-03-22 09:00:00","81.3750","0.3037794669301907"
"2023-03-22 10:00:00","81.4167","0.3025457980247834"
"2023-03-22 11:00:00","81.4583","0.301351141475638"
"2023-03-22 12:00:00","81.5000","0.3000732973701153"
"2023-03-22 13:00:00","81.5417","0.29883321766491805"
"2023-03-22 14:00:00","81.5833","0.297537184717589"
"2023-03-22 15:00:00","81.6250","0.29627706172864965"
"2023-03-22 16:00:00","81.6667","0.29509535367078527"
"2023-03-22 17:00:00","81.7083","0.29394288976510113"
"2023-03-22 18:00:00","81.7500","0.2934837169592479"
"2023-03-22 19:00:00","81.7917","0.2930321925010309"
"2023-03-22 20:00:00","81.8333","0.29279894647952753"
"2023-03-22 21:00:00","81.8750","0.2925695583499027"
"2023-03-22 22:00:00","81.9167","0.29234961521346553"
"2023-03-22 23:00:00","81.9583","0.29213325005465507"
"2023-03-23 00:00:00","82.0000","0.291922395640805"
"2023-03-23 01:00:00","82.0417","0.29171491461551863"
"2023-03-23 02:00:00","82.0833","0.2915140822689688"
"2023-03-23 03:00:00","82.1250","0.29131642627044674"
"2023-03-23 04:00:00","82.1667","0.29112400058346416"
"2023-03-23 05:00:00","82.2083","0.29093458694906027"
"2023-03-23 06:00:00","82.2500","0.29074883286414954"
"2023-03-23 07:00:00","82.2917","0.290565956011948"
"2023-03-23 08:00:00","82.3333","0.28996659373368955"
"2023-03-23 09:00:00","82.3750","0.2893763195551226"
"2023-03-23 10:00:00","82.4167","0.28849023072877567"
"2023-03-23 11:00:00","82.4583","0.2876196117287834"
"2023-03-23 12:00:00","82.5000","0.2866364024883383"
"2023-03-23 13:00:00","82.5417","0.28567078237276144"
"2023-03-23 14:00:00","82.5833","0.28475085829645985"
"2023-03-23 15:00:00","82.6250","0.2838462410862073"
"2023-03-23 16:00:00","82.6667","0.2829349582170998"
"2023-03-23 17:00:00","82.7083","0.2922613946402265"
"2023-03-23 18:00:00","82.7500","0.30296714837453276"
"2023-03-23 19:00:00","82.7917","0.3022970462914253"
"2023-03-23 20:00:00","82.8333","0.3019882656210022"
"2023-03-23 21:00:00","82.8750","0.301687236042591"
"2023-03-23 22:00:00","82.9167","0.3014082908791769"
"2023-03-23 23:00:00","82.9583","0.30113579410395314"
"2023-03-24 00:00:00","83.0000","0.3008733013950584"
"2023-03-24 01:00:00","83.0417","0.3006164580260655"
"2023-03-24 02:00:00","83.0833","0.300366056609597"
"2023-03-24 03:00:00","83.1250","0.30012073232596"
"2023-03-24 04:00:00","83.1667","0.2998802803150647"
"2023-03-24 05:00:00","83.2083","0.29964446794564864"
"2023-03-24 06:00:00","83.2500","0.29941311674371957"
"2023-03-24 07:00:00","83.2917","0.29918605057999337"
"2023-03-24 08:00:00","83.3333","0.29845001098166446"
"2023-03-24 09:00:00","83.3750","0.29772783636497363"
"2023-03-24 10:00:00","83.4167","0.2966472659317856"
"2023-03-24 11:00:00","83.4583","0.2955898413407073"
"2023-03-24 12:00:00","83.5000","0.29454104887691723"
"2023-03-24 13:00:00","83.5417","0.293513395835861"
"2023-03-24 14:00:00","83.5833","0.2923722766960595"
"2023-03-24 15:00:00","83.6250","0.29125441821906917"
"2023-03-24 16:00:00","83.6667","0.2901752720696487"
"2023-03-24 17:00:00","83.7083","0.28911650255945565"
"2023-03-24 18:00:00","83.7500","0.2887010427804038"
"2023-03-24 19:00:00","83.7917","0.28829060189296585"
"2023-03-24 20:00:00","83.8333","0.2881404534704644"
"2023-03-24 21:00:00","83.8750","0.28799225708613313"
"2023-03-24 22:00:00","83.9167","0.28785975974602246"
"2023-03-24 23:00:00","83.9583","0.2877290549225266"
"2023-03-25 00:00:00","84.0000","0.28760241316659263"
"2023-03-25 01:00:00","84.0417","0.28747750104945013"
"2023-03-25 02:00:00","84.0833","0.28735670438119437"
"2023-03-25 03:00:00","84.1250","0.2872375749471564"
"2023-03-25 04:00:00","84.1667","0.2871229775494143"
"2023-03-25 05:00:00","84.2083","0.2870099828029214"
"2023-03-25 06:00:00","84.2500","0.28689945614120144"
"2023-03-25 07:00:00","84.2917","0.28679048396970785"
"2023-03-25 08:00:00","84.3333","0.2862350962525227"
"2023-03-25 09:00:00","84.3750","0.28568681258290973"
"2023-03-25 10:00:00","84.4167","0.2848818489734346"
"2023-03-25 11:00:00","84.4583","0.2840888181422447"
"2023-03-25 12:00:00","84.5000","0.2832834049991727"
"2023-03-25 13:00:00","84.5417","0.2824895747754095"
"2023-03-25 14:00:00","84.5833","0.28169929608328276"
"2023-03-25 15:00:00","84.6250","0.2809200034144812"
"2023-03-25 16:00:00","84.6667","0.2801341139645566"
"2023-03-25 17:00:00","84.7083","0.28961982146902454"
"2023-03-25 18:00:00","84.7500","0.30052881285540706"
"2023-03-25 19:00:00","84.7917","0.2999997330049225"
"2023-03-25 20:00:00","84.8333","0.29973985676403725"
"2023-03-25 21:00:00","84.8750","0.2994867191989513"
"2023-03-25 22:00:00","84.9167","0.2992619405943199"
"2023-03-25 23:00:00","84.9583","0.29904257822790287"
"2023-03-26 00:00:00","85.0000","0.298834971599708"
"2023-03-26 01:00:00","85.0417","0.298632019651537"
"2023-03-26 02:00:00","85.0833","0.29843328931200946"
