"DateTime","Yeild","irr","LeafArea","LabieCarbon","ActualTranspiration","Evaporation","ET0","ThetaEquiv","TotalRootLength"
"2024-03-14 09:00:00","0.0","16.88888888888889","0.023728705849092695","94.43969799872323","6.49182262829382","6.49182262829382","6.49182262829382","0.6908979799916064","6.809682406028908"
"2024-03-15 09:00:00","0.0","16.88888888888889","0.047705242740080034","90.77539758590464","5.225177459928101","5.225177459928101","5.225177459928101","0.7990341962815699","6.809682406028908"
"2024-03-16 09:00:00","0.0","16.88888888888889","0.07167931975682984","87.45761280763912","4.928854890950842","4.928854890950842","4.928854890950842","0.8405089082538482","6.809682406028908"
"2024-03-17 09:00:00","0.0","16.88888888888889","0.0956506799578185","84.53471713825904","5.411684378412093","5.411684378412093","5.411684378412093","0.8318411388774835","6.809682406028908"
"2024-03-18 09:00:00","0.0","16.88888888888889","0.11831832798369803","82.24276070704393","4.657736393085205","4.657736393085205","4.657736393085205","0.8493009311094167","6.809682406028908"
"2024-03-19 09:00:00","0.0","16.88888888888889","0.1371360113831583","80.59206536229392","5.051358885009928","5.051358885009928","5.051358885009928","0.8359400536163538","6.809682406028908"
"2024-03-20 09:00:00","0.0","16.88888888888889","0.15499491810924768","79.46755431546373","6.293678506636453","6.293678506636453","6.293678506636453","0.8243348276753412","6.809682406028908"
"2024-03-21 09:00:00","0.0","16.88888888888889","0.17657162446256464","78.14634060357842","5.722773149661703","5.722773149661703","5.722773149661703","0.8338707946009334","6.809682406028908"
"2024-03-22 09:00:00","0.0","16.88888888888889","0.20052451561863868","76.79066936134102","6.758847848090787","6.758847848090787","6.758847848090787","0.8247605732389666","6.809682406028908"
"2024-03-23 09:00:00","0.0","16.88888888888889","0.2244205928784752","76.37622925654131","4.109039400524826","13.202102042995236","14.670721034921016","0.6247457669415546","6.809682406028908"
"2024-03-24 09:00:00","0.0","16.88888888888889","0.24728564549630347","77.08299190739078","5.213428226759392","16.128274528161285","18.11604784928842","0.45284199930237135","6.809682406028908"
"2024-03-25 09:00:00","0.0","16.88888888888889","0.2704840947875783","80.96915208596764","5.148543876529212","10.282168779894192","17.422988848742808","0.4035019407841513","6.809682406028908"
