"day","Yeild","irr"
"0","0.0","0.0"
"1","0.0","21.33333333333212"
"2","0.0","31.999999999997577"
"3","0.0","42.66666666666303"
"4","0.0","53.33333333332849"
"5","0.0","63.999999999993946"
"6","0.0","63.999999999993946"
"7","0.0","74.6666666666606"
"8","0.0","85.33333333332605"
"9","0.0","85.33333333332605"
"10","0.0","95.99999999999271"
"11","0.0","95.99999999999271"
"12","0.0","106.66666666665937"
"13","0.0","106.66666666665937"
"14","0.0","106.66666666665937"
"15","0.0","106.66666666665937"
"16","0.0","106.66666666665937"
"17","0.0","117.33333333332602"
"18","0.0","117.33333333332602"
"19","0.0","127.99999999999268"
"20","0.0","127.99999999999268"
"21","0.0","127.99999999999268"
"22","0.0","127.99999999999268"
"23","0.0","138.66666666665935"
"24","0.0","138.66666666665935"
"25","0.0","138.66666666665935"
"26","0.0","149.33333333332482"
"27","0.0","149.33333333332482"
"28","0.0","149.33333333332482"
"29","0.0","159.9999999999915"
"30","0.0","159.9999999999915"
"31","0.0","170.6666666666582"
"32","0.0","181.33333333332487"
"33","7.786258788122567E-4","191.99999999999034"
"34","0.011145899473715835","191.99999999999034"
"35","0.0448316222519675","191.99999999999034"
"36","0.11547781504913052","202.66666666665702"
"37","0.23590021842603243","202.66666666665702"
"38","0.40711808432978436","202.66666666665702"
"39","0.6695892944410442","213.33333333332249"
"40","1.0241348416722516","213.33333333332249"
"41","1.483108120255903","223.99999999998795"
"42","2.062476289465379","223.99999999998795"
"43","2.777076900639951","234.6666666666534"
"44","3.6417268822755093","234.6666666666534"
"45","4.669716608739171","245.3333333333201"
"46","5.86943002552354","245.3333333333201"
"47","7.258106300276906","255.99999999998678"
"48","8.849120718809813","266.66666666665344"
"49","10.634317360168561","266.66666666665344"
"50","12.142694156535494","266.66666666665344"
"51","14.374796903162718","277.33333333332007"
"52","16.89335705605587","277.33333333332007"
"53","19.022733698615735","277.33333333332007"
"54","19.175877808463994","277.33333333332007"
"55","19.175877808463994","277.33333333332007"
"56","19.175877808463994","277.33333333332007"
"57","19.191003227377145","277.33333333332007"
"58","19.695486598872886","277.33333333332007"
"59","21.19429938311948","293.3333333333188"
"60","26.158529233487954","293.3333333333188"
"61","31.607939133602002","303.99999999998306"
"62","37.44592656004733","309.3333333333152"
"63","43.644583728915485","309.3333333333152"
"64","50.311526707821244","309.3333333333152"
"65","57.419693725157295","309.3333333333152"
"66","64.97883741262908","325.33333333331393"
"67","72.96626476441595","325.33333333331393"
"68","81.43595240159273","325.33333333331393"
"69","90.41810919658073","341.3333333333127"
"70","99.90441299602219","341.3333333333127"
"71","109.90627368919118","351.9999999999769"
"72","120.43395953653965","357.33333333330904"
"73","131.50775083075442","357.33333333330904"
"74","143.13838204262294","373.3333333333078"
"75","155.36989547636747","373.3333333333078"
"76","168.1135644024681","389.33333333330654"
"77","180.77091236984697","389.33333333330654"
"78","194.70796983614457","389.33333333330654"
"79","209.4792978114539","389.33333333330654"
"80","225.08250503000184","399.9999999999708"
"81","241.44686861289958","405.3333333333029"
"82","258.1055625137467","405.3333333333029"
"83","275.2630014767223","421.33333333330165"
"84","293.0683277182228","421.33333333330165"
"85","311.51925533610716","421.33333333330165"
"86","323.0550366958863","437.3333333333004"
