"day","Yeild","irr"
"0","0.0","0.0"
"1","0.0","26.66666666666425"
"2","0.0","37.33333333333092"
"3","0.0","47.99999999999759"
"4","0.0","58.66666666666426"
"5","0.0","69.33333333333093"
"6","0.0","69.33333333333093"
"7","0.0","79.99999999999758"
"8","0.0","79.99999999999758"
"9","0.0","90.66666666666303"
"10","0.0","101.33333333332969"
"11","0.0","101.33333333332969"
"12","0.0","111.99999999999635"
"13","0.0","111.99999999999635"
"14","0.0","111.99999999999635"
"15","0.0","122.74962962963035"
"16","0.0","122.74962962963035"
"17","0.0","122.74962962963035"
"18","0.0","133.4162962962958"
"19","0.0","133.4162962962958"
"20","0.0","144.08296296296248"
"21","0.0","144.08296296296248"
"22","0.0","144.08296296296248"
"23","0.0","154.74962962962917"
"24","0.0","154.74962962962917"
"25","0.0","154.74962962962917"
"26","0.0","154.74962962962917"
"27","0.0","165.43999999999386"
"28","0.0","165.43999999999386"
"29","0.0","165.43999999999386"
"30","0.0","176.16592592590194"
"31","0.0","176.16592592590194"
"32","0.0","186.89777777775515"
"33","5.279649079486279E-4","186.89777777775515"
"34","0.0011146699188445946","186.89777777775515"
"35","0.02893977355606163","186.89777777775515"
"36","0.09934324770657575","186.89777777775515"
"37","0.2210706812360259","197.60592592590427"
"38","0.41545341077585507","208.27259259256974"
"39","0.6788974165659832","208.27259259256974"
"40","1.0326428421760916","218.9392592592352"
"41","1.4915568252579456","218.9392592592352"
"42","2.070202443881112","229.60592592590066"
"43","2.7858243080466734","229.60592592590066"
"44","3.6510635392708646","240.27259259256613"
"45","4.6781857551059565","240.27259259256613"
"46","5.880357348590698","250.9392592592316"
"47","7.270789434964719","250.9392592592316"
"48","8.86339534675739","261.60592592589825"
"49","10.651344816506521","272.2725925925649"
"50","12.020458347190948","272.2725925925649"
"51","14.249843569662914","272.2725925925649"
"52","16.81244027126691","282.93925925923276"
"53","19.63546011371229","282.93925925923276"
"54","22.74273309711927","282.93925925923276"
"55","26.154734921768817","282.93925925923276"
"56","29.88344510499458","293.70370370367044"
"57","33.95122084247838","293.70370370367044"
"58","38.48766245459335","293.70370370367044"
"59","43.24451689234869","309.7037037036668"
"60","48.36880367654321","309.7037037036668"
"61","53.84321278780046","325.70370370366555"
"62","58.36931600834034","325.70370370366555"
"63","64.69025265829612","325.70370370366555"
"64","71.50455384325801","325.70370370366555"
"65","78.75501542508069","336.42370370368127"
"66","86.45570154572484","347.2711111111069"
"67","94.62117653840777","347.2711111111069"
"68","103.2048343025408","363.27111111110565"
"69","112.28653522659297","363.27111111110565"
